	full name	simple name	stigmatizing
153	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\DEPRESSION SCALE: I ENJOYED LIFE\	DEPRESSION SCALE: I ENJOYED LIFE	y
154	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\DEPRESSION SCALE: I FELT DEPRESSED\	DEPRESSION SCALE: I FELT DEPRESSED	y
155	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\DEPRESSION SCALE: I FELT LONELY\	DEPRESSION SCALE: I FELT LONELY	y
156	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\DEPRESSION SCALE: I FELT SAD\	DEPRESSION SCALE: I FELT SAD	y
157	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\DEPRESSION SCALE: I FELT THAT PEOPLE DISLIKED ME\	DEPRESSION SCALE: I FELT THAT PEOPLE DISLIKED ME	y
158	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\DEPRESSION SCALE: I WAS HAPPY\	DEPRESSION SCALE: I WAS HAPPY	y
159	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\DEPRESSION SCALE: MY SLEEP WAS RESTLESS\	DEPRESSION SCALE: MY SLEEP WAS RESTLESS	y
160	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\DEPRESSION SCALE: PEOPLE WERE UNFRIENDLY\	DEPRESSION SCALE: PEOPLE WERE UNFRIENDLY	y
161	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\DOSE/DAY OF PREMARIN CONJUGATED ESTROGENS OR OTHER ORAL ESTROGENS\	DOSE/DAY OF PREMARIN CONJUGATED ESTROGENS OR OTHER ORAL ESTROGENS	y
162	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\DOSE/DAY OF PREMARIN CONJUGATED ESTROGENS, OR OTHER ORAL ESTROGEN (PICK NEAREST DOSE)\	DOSE/DAY OF PREMARIN CONJUGATED ESTROGENS, OR OTHER ORAL ESTROGEN (PICK NEAREST DOSE)	y
163	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\DOSE/DAY OF PREMARIN CONJUGATED ESTROGENS, OR OTHER ORAL ESTROGEN\	DOSE/DAY OF PREMARIN CONJUGATED ESTROGENS, OR OTHER ORAL ESTROGEN	y
164	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\DOSE/DAY PREMARIN OR CONJ ESTROGEN\	DOSE/DAY PREMARIN OR CONJ ESTROGEN	y
165	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\DOSE/DAY PREMARIN OR CONJ. ESTROGENS\	DOSE/DAY PREMARIN OR CONJ. ESTROGENS	y
166	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\DOSE/DAY PREMARIN OR CONJUGATED ESTROGEN\	DOSE/DAY PREMARIN OR CONJUGATED ESTROGEN	y
167	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\ECHO: OTHER CONGENITAL ABNORMALITY\	ECHO: OTHER CONGENITAL ABNORMALITY	n
168	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\EDUCATION\	EDUCATION	y
169	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\ESTROGEN CREAM USE DURING INTERIM\	ESTROGEN CREAM USE DURING INTERIM	y
170	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\ESTROGEN CREAM USE IN INTERIM - FEMALE\	ESTROGEN CREAM USE IN INTERIM - FEMALE	y
171	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\ESTROGEN CREAM USE IN INTERIM\	ESTROGEN CREAM USE IN INTERIM	y
172	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\ESTROGEN CREAM USE INTERIM\	ESTROGEN CREAM USE INTERIM	y
173	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\ESTROGEN REPLACEMENT IN INTERIM (E.G. PREMARIN)\	ESTROGEN REPLACEMENT IN INTERIM (E.G. PREMARIN)	y
174	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\ESTROGEN REPLACEMENT IN INTERIM (E.G.PREMARIN)\	ESTROGEN REPLACEMENT IN INTERIM (E.G.PREMARIN)	y
175	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\ESTROGEN USE?\	ESTROGEN USE?	y
176	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\ESTROGEN\	ESTROGEN	y
177	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\EXAMINER ASSESSES SUBJECT'S MENTAL STATUS\	EXAMINER ASSESSES SUBJECT'S MENTAL STATUS	y
178	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\EXAMINER'S ASSESSMENT OF SUBJECT'S MENTAL STATUS\	EXAMINER'S ASSESSMENT OF SUBJECT'S MENTAL STATUS	y
179	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FACTOR POTENTIALLY AFFECTING MENTAL STATUS TESTING: DEPRESSION/POSSIBLE DEPRESSION\	FACTOR POTENTIALLY AFFECTING MENTAL STATUS TESTING: DEPRESSION/POSSIBLE DEPRESSION	y
180	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FACTOR POTENTIALLY AFFECTING MENTAL STATUS TESTING: ILLITERATE OR LOW EDUCATION\	FACTOR POTENTIALLY AFFECTING MENTAL STATUS TESTING: ILLITERATE OR LOW EDUCATION	y
181	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FACTOR POTENTIALLY AFFECTING MENTAL STATUS TESTING: NOT FLUENT IN ENGLISH\	FACTOR POTENTIALLY AFFECTING MENTAL STATUS TESTING: NOT FLUENT IN ENGLISH	y
182	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FACTOR POTENTIALLY AFFECTING MENTAL STATUS TESTING: OTHER, WRITE IN\	FACTOR POTENTIALLY AFFECTING MENTAL STATUS TESTING: OTHER, WRITE IN	y
183	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FACTOR POTENTIALLY AFFECTING MENTAL STATUS TESTING: POOR EYESIGHT\	FACTOR POTENTIALLY AFFECTING MENTAL STATUS TESTING: POOR EYESIGHT	y
184	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FACTOR POTENTIALLY AFFECTING MENTAL STATUS TESTING: POOR HEARING\	FACTOR POTENTIALLY AFFECTING MENTAL STATUS TESTING: POOR HEARING	y
185	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING - APHASIA\	FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING - APHASIA	y
186	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING - COMA\	FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING - COMA	y
187	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING - DEPRESSION\	FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING - DEPRESSION	y
188	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING - ILLITERACY OR LOW EDUCATION\	FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING - ILLITERACY OR LOW EDUCATION	y
189	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING - NOT FLUENT IN ENGLISH\	FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING - NOT FLUENT IN ENGLISH	y
190	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING - OTHER\	FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING - OTHER	y
191	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING - PARKINSONISM\	FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING - PARKINSONISM	y
192	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING - POOR EYESIGHT\	FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING - POOR EYESIGHT	y
193	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING - POOR HEARING\	FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING - POOR HEARING	y
194	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING: APHASIA\	FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING: APHASIA	y
195	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING: COMA\	FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING: COMA	y
196	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING: DEPRESSION\	FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING: DEPRESSION	y
197	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING: ILLITERACY OR LOW EDUCATION\	FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING: ILLITERACY OR LOW EDUCATION	y
198	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING: NOT FLUENT IN ENGLISH\	FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING: NOT FLUENT IN ENGLISH	y
199	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING: OTHER\	FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING: OTHER	y
200	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING: PARKINSONISM\	FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING: PARKINSONISM	y
201	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING: POOR EYESIGHT\	FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING: POOR EYESIGHT	y
202	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING: POOR HEARING\	FACTORS POTENTIALLY AFFECTING MENTAL STATUS TESTING: POOR HEARING	y
203	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FEMALE GENITOURINARY DOSE/DAY OF PREMARIN CONJUGATED ESTROGENS, OR OTHER ORAL ESTROGEN\	FEMALE GENITOURINARY DOSE/DAY OF PREMARIN CONJUGATED ESTROGENS, OR OTHER ORAL ESTROGEN	y
204	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FEMALE GENITOURINARY ESTROGEN CREAM USE IN INTERIM\	FEMALE GENITOURINARY ESTROGEN CREAM USE IN INTERIM	y
205	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FEMALE GENITOURINARY ESTROGEN REPLACEMENT IN INTERIM (E.G. PREMARIN)\	FEMALE GENITOURINARY ESTROGEN REPLACEMENT IN INTERIM (E.G. PREMARIN)	y
206	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FEMALE GENITOURINARY NUMBER OF DAYS A MONTH TAKING ESTROGEN\	FEMALE GENITOURINARY NUMBER OF DAYS A MONTH TAKING ESTROGEN	y
207	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FEMALE GENITOURINARY PATCH DOSE OF ESTROGEN\	FEMALE GENITOURINARY PATCH DOSE OF ESTROGEN	y
208	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FEMALE HORMONE REPLACEMENT: DOSE/DAY OF PREMARIN CONJUGATED ESTROGENS, OR OTHER ORAL ESTROGEN\	FEMALE HORMONE REPLACEMENT: DOSE/DAY OF PREMARIN CONJUGATED ESTROGENS, OR OTHER ORAL ESTROGEN	y
209	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FEMALE HORMONE REPLACEMENT: ESTROGEN CREAM USE IN INTERIM\	FEMALE HORMONE REPLACEMENT: ESTROGEN CREAM USE IN INTERIM	y
210	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FEMALE HORMONE REPLACEMENT: ESTROGEN CREAM USE SINCE LAST EXAM\	FEMALE HORMONE REPLACEMENT: ESTROGEN CREAM USE SINCE LAST EXAM	y
211	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FEMALE HORMONE REPLACEMENT: ESTROGEN PREPARATION: NUMBER OF DAYS PER MONTH TAKEN\	FEMALE HORMONE REPLACEMENT: ESTROGEN PREPARATION: NUMBER OF DAYS PER MONTH TAKEN	y
212	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FEMALE HORMONE REPLACEMENT: ESTROGEN PREPARATION: STRENGTH CHARACTER VARIABLE; (BLANK) = UNKNOWN, OR NO ESTROGEN PREPARATION USE (199)\	FEMALE HORMONE REPLACEMENT: ESTROGEN PREPARATION: STRENGTH CHARACTER VARIABLE; (BLANK) = UNKNOWN, OR NO ESTROGEN PREPARATION USE (199)	y
213	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FEMALE HORMONE REPLACEMENT: ESTROGEN REPLACEMENT IN INTERIM (E.G. PREMARIN)\	FEMALE HORMONE REPLACEMENT: ESTROGEN REPLACEMENT IN INTERIM (E.G. PREMARIN)	y
214	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FEMALE HORMONE REPLACEMENT: ESTROGEN USE SINCE YOUR LAST EXAM?\	FEMALE HORMONE REPLACEMENT: ESTROGEN USE SINCE YOUR LAST EXAM?	y
215	\Framingham Cohort ( phs000007 )\Clinic Questionnaire (Interview and Physical Exam)\Clinic Exam Questionnaire\MD Interview, Physical Exam, Examiner's Opinion, and Clinical Diagnostic Impression; Non-MD / Non-medical Interview / Self-report and Physical Exam / Anthropometrics / Observed Performance\FEMALE HORMONE REPLACEMENT: NAME OF MOST RECENT ESTROGEN PREPARATION - CHARACTER VARIABLE; (BLANK) = UNKNOWN, OR NO ESTROGEN PREPARATION USE (197)\	FEMALE HORMONE REPLACEMENT: NAME OF MOST RECENT ESTROGEN PREPARATION - CHARACTER VARIABLE; (BLANK) = UNKNOWN, OR NO ESTROGEN PREPARATION USE (197)	y
